Model,ID F1,ID FPR,OOD Accuracy,OOD Recall,OOD FPR,OOD ROC-AUC
Logistic Global*,0.9585531273549359,0.09259259259259259,0.8911764705882353,0.9529411764705882,0.17058823529411765,0.968961937716263
Logistic MIL,0.9350152905198776,0.08130081300813008,0.9441176470588235,1.0,0.11176470588235295,0.986401384083045
MLP Global*,0.9884371503170459,0.03909465020576132,0.7852941176470588,1.0,0.4294117647058823,0.9935640138408304
MLP Global Grouped,0.9900110987791343,0.024390243902439025,0.7911764705882353,1.0,0.4176470588235294,0.9940484429065745
MLP MIL,0.9594946116685247,0.09552845528455285,0.9117647058823529,1.0,0.17647058823529413,0.9874740484429066
